rank,animal,power
565,Dire Wolves (pack of 2),6.798629
566,Placerias hesternus,6.741163
567,Bactrian Camel,6.652503
568,Kelenken guillermoi,6.599787
569,Common Eland,6.463158
570,Barylambda faberi,6.438851
571,Alano Espa ols (2),6.429311
572,Longdan Tiger,6.421761
573,Spotted Hyena (clan of 2),6.386629
574,Tibetan Blue Bear,6.350499
575,African (Cape) Buffalo (cow),6.327097
576,Siberian Tigress,6.096646
577,Dromedary (Arabian) Camel,6.095562
578,Pygmy Killer Whale,6.071868
579,Sumatran Tigress,6.009130
580,Black Caiman (cow),5.958171
581,Eastern Gorilla (coalition of 2),5.909426
582,Great Hammerhead Shark,5.884446
583,African Lioness,5.881160
584,Nguni (Bull),5.846744
585,Haida Gwaii Black Bear,5.842613
586,Bali Tigress,5.801275
587,Caucasian Shepherd Dogs (5),5.741238
588,Brown Hyena (clan of 3),5.725519
589,Grevy's (Imperial) Zebra,5.693029
590,Sri Lankan Sloth Bear,5.632982
591,Muskox,5.627613
592,Epicyon haydeni,5.606365
593,African Forest Buffalo,5.593704
594,Shasta Ground Sloth,5.579904
595,Orca (Transient female),5.567623
596,Giant Freshwater Stingray (whipray),5.564627
597,Thalassocnus spp.,5.559902
598,American Black Bear,5.553838
599,African Wild Dog (pack of 5),5.548144
600,Porbeagle Shark,5.547078
601,Grey Wolf (pack of 3),5.546873
602,Asiatic Black Bear,5.544688
603,North American Jaguar,5.522532
604,Giant Warthog,5.445949
605,Neanderthal (armed with a spear),5.423935
606,Cuban Crocodile,5.420077
607,Indarctos oregonensis,5.417784
608,Black Marlin,5.406647
609,Archaic Human (armed with spear),5.363077
610,Clidastes propython,5.344321
611,Ichthyosaurus somersetensis,5.337502
612,Minmi paravertebra,5.333875
613,Gigantopithecus blacki,5.328145
614,Rottweilers (8),5.291358
615,Entelodon spp.,5.290874
616,Asiatic Lioness,5.269916
617,Water Buffalo,5.251417
618,Red Wolf (pack of 3),5.237017
619,Common Bottlenose Dolphin,5.206461
620,Malayan Tigress,5.186053
621,Cheetah (coalition of 3),5.127692
622,Smilodon gracilis,5.107413
623,Anzu wyliei,5.071891
624,Salmon Shark,5.040752
625,Ankalagon saurognathus,4.943254
626,Sumatran Tiger,4.942298
627,Jaguar,4.938265
628,Oceanic Whitetip Shark,4.914178
629,Blue Jay,4.904529
630,Collared Peccary (Javelina) (pack of 6),4.863320
631,Longfin Mako Shark,4.862923
632,Siamese Crocodile,4.791596
633,Jaguaress,4.787570
634,Dogo Argentino (pack of 5),4.717905
635,Highland Cattle Bull,4.689165
636,Arizonasaurus babbitti,4.687531
637,Protocyon troglodytes (pack of 2),4.668755
638,Brachycrus spp.,4.653148
639,Tibetan Mastiff (pack of 5),4.648135
640,Titanis walleri,4.615354
641,Dhole (Pack of 4/5),4.601769
642,Central Asian Shepherd Dog (Alabai) (pack of 3),4.554023
643,Pantanal Jaguar,4.501975
644,Pygmy Hippopotamus,4.495032
645,Ussuri Wild Boar,4.489810
646,Olive Baboon (Troop of 5),4.478315
647,Dimetrodon grandis,4.453901
648,Baikal Seal,4.445498
649,Megapiranha paranensis (shoal of 5),4.405421
650,Neapolitan Mastiffs (2),4.400046
651,Mexican Wolf (pack of 3),4.382683
652,Gobi Bear,4.359084
653,Western Lowland Gorilla,4.355345
654,South American Sea Lion,4.354320
655,California Sea Lion,4.344731
656,Barbourofelis morrisi,4.334996
657,Przewalski's Horse,4.304250
658,Dogo Argentino (pack of 6-8),4.272388
659,Grey Wolves (pack of 2),4.225578
660,Colossal Squid,4.223515
661,Risso's Dolphin,4.194840
662,Eastern Lowland Gorilla,4.180266
663,Northwestern Wolf (pack of 7),4.123039
664,Central Asian Shepherd Dog (Alabai) (pack of 6),4.074277
665,(YNP) Cinnamon Black Bear,4.056382
666,African Wild Dog (pack of 4),4.018187
667,European (German) Wasp,4.001337
668,White Sturgeon,3.970173
669,Gemsbok,3.963209
670,Ambulocetus natans,3.920262
671,Smalltooth Sawfish,3.878481
672,Timurlengia euotica,3.865306
673,Steppe Wolf (pack of 2),3.835091
674,Spotted Hyena (female),3.820929
675,Dhole (Pack of 3/4),3.817257
676,Giant Eland,3.784362
677,Roosevelt Elk,3.784001
678,Giant Forest Hog,3.783937
679,Sloth Bear,3.771869
680,Onchopristis numida,3.689111
681,Cantabrian Brown Bear,3.682539
682,Cave Hyena,3.658967
683,Striped Hyena (clan of 3),3.621013
684,Tibetan Mastiff (pack of 3),3.546378
685,Cape Mountain Zebra,3.545861
686,Asiatic Wild Ass (Onager),3.488498
687,Dhole (Pack of 5),3.482193
688,Spotted Hyenas (clan of 2),3.392785
689,Albanosmilus jourdani,3.350671
690,Piraiba,3.347543
691,Bali Tiger,3.344492
692,Okapi,3.340565
693,African Crowned Eagle (male),3.307925
694,Ussuri Black Bear,3.278905
695,Western Gorilla,3.261782
696,Ganges River Dolphin,3.260888
697,Northwestern Wolf (pack of 3),3.257826
698,Philippine (Mindoro) Crocodile,3.250709
699,Common Chimpanzee (troop of 6),3.233889
700,Dinofelis piveteaui,3.204685
701,Neanderthal (with spear),3.195026
702,Savannah Cat,3.183180
703,Kolponomos spp.,3.182856
704,Ethiopian Wolf (Simian Jackal),3.122798
705,Rottweilers (4),3.005989
706,Zuniceratops christopheri,3.002206
707,Giant (Short-faced) Hyena (clan of 2),2.995579
708,Mexican Jaguar,2.956710
709,Sri Lankan Leopard,2.939369
710,House Mouse,2.925130
711,Dogo Argentino (pack of 3),2.870660
712,Pleistocene Cougar,2.862948
713,Bold Jumping Spider,2.824014
714,Silvertip Shark,2.801144
715,Eurasian Wolf (pack of 2),2.797000
716,Grey Wolf (Pack of 2),2.774836
717,Syrian Brown Bear (sow),2.760420
718,European Elk,2.751859
719,Deinonychus antirrhopus,2.738945
720,Thylacosmilus atrox,2.728907
