rank,animal,power
1468,Scrub (Amethystine) Python,0.154232
1469,Leonberger,0.153498
1470,Pacific Electric Ray,0.152179
1471,Whollydooleya tomnpatrichorum,0.152037
1472,Didelphodon vorax,0.149123
1473,Mesohippus spp.,0.148521
1474,Great Barracuda,0.145619
1475,Alaskan Malamute,0.145112
1476,Mule Deer,0.144172
1477,Thylacine,0.143656
1478,Common Wombat,0.142991
1479,Broad Stingray,0.142654
1480,Giant Snakeheads (breeding pair),0.140047
1481,East European Shepherd,0.139239
1482,Rocky Mountain Mule Deer,0.138211
1483,Anjumara (Wolf Fish),0.137248
1484,North Pacific Giant Octopus,0.137062
1485,American Pit Bull Terriers (2),0.136370
1486,Collared Peccary (Javelina),0.136186
1487,Dingo,0.135898
1488,African Wild Dog,0.135759
1489,Wild Turkey (rafter of 5),0.135473
1490,Eastern Wolf (female),0.134381
1491,Roadside Hawk,0.132925
1492,German Shepherd,0.132377
1493,Muskellunge,0.131223
1494,Southern African Wildcat,0.129681
1495,Rhodesian Ridgeback,0.128836
1496,Chinese Giant Salamander,0.127903
1497,English Bull Terrier,0.127575
1498,Golden Eagle (aerie of 2),0.127443
1499,White-lipped Peccary,0.126790
1500,Boxer,0.126440
1501,Akita Inu,0.125155
1502,Bull Arab,0.123202
1503,Dhole,0.122212
1504,Cape Bushbuck (Imbabala),0.120972
1505,Smooth-fronted Caiman,0.120779
1506,Tiktaalik roseae,0.119886
1507,Bush Dog (pack of 2),0.119821
1508,Staffordshire Bull Terrier,0.119059
1509,Hamadryas Baboon,0.118493
1510,Belgian Malinois,0.117579
1511,Papuan Python,0.117260
1512,Ocelot,0.114728
1513,European Dhole,0.114028
1514,Lappet-faced Vultures (venue of 2/3),0.113920
1515,Eurasian Badger,0.112419
1516,Hyacinth Macaw,0.112132
1517,American Pitbull Terrier,0.111993
1518,King Cobra,0.111515
1519,Australopithecus africanus,0.111240
1520,American Staffordshire Terrier (Amstaff),0.110602
1521,Bonobo (Pygmy Chimpanzee),0.110582
1522,Greyhound,0.110182
1523,Chacma Baboon,0.109873
1524,Colossus Penguin,0.109492
1525,Ornithomimus edmontonicus,0.109033
1526,American Pit Bull Terrier,0.108742
1527,Ocelot (male),0.108439
1528,Human (female),0.108347
1529,Olive Baboon,0.108135
1530,Velociraptor mongoliensis,0.106927
1531,Wolverine (female),0.106913
1532,Honey Badger,0.105525
1533,Indian Wolf,0.105465
1534,Eastern Coyote,0.104646
1535,Bigeye Thresher Shark,0.103966
1536,Honey Badger (sow),0.103181
1537,Dromaeosaurus albertensis,0.101615
1538,African Golden Cat,0.100624
1539,Caspian Seal,0.099920
1540,Canadian Lynx,0.099763
1541,Whitetip Reef Shark,0.098259
1542,Asian Golden Cat,0.097978
1543,Patagornis marshi,0.097190
1544,Impala,0.097058
1545,Caracal,0.096210
1546,Fishing Cat,0.095256
1547,Common Collared Lizard,0.094752
1548,Central Bearded Dragon,0.094666
1549,Gull Dong,0.094561
1550,Gelada,0.094205
1551,Pteranodon longiceps,0.093924
1552,Kea,0.093727
1553,Perentie,0.093613
1554,Clouded Shepherd,0.092835
1555,Harpy Eagle,0.092676
1556,Dwarf Cassowary,0.092162
1557,Red Wolf,0.091413
1558,African Brush-tailed Porcupine,0.089863
1559,Mexican Coyote,0.088788
1560,Golden Dorado,0.088382
1561,Giant Moray,0.088025
1562,Guinea Baboon,0.087729
1563,Sand (Gould's) Goanna,0.087594
1564,Asian Water Monitor,0.087390
1565,Indonesian Wild Boar (Banded Pig),0.087372
1566,Maned Wolf (coalition of 2),0.086367
1567,Iberian Lynx,0.085643
1568,Red-Bellied Piranha (school of 8-10),0.085118
1569,Paranthropus boisei,0.084990
1570,Australian Cattle Dog (Blue or Red Heeler),0.084952
1571,Malagasy Crowned Eagle,0.084913
1572,Pulmonoscorpius kirktonensis,0.084675
1573,Lappet-faced Vultures (venue of 4),0.084613
1574,Carpet Python,0.084436
1575,Nile Monitor (Leguan),0.084371
1576,Asian Giant Hornets (2),0.083951
1577,Cuvier's Dwarf Caiman,0.083805
1578,Galap gos Islands Feral Dog,0.082925
1579,Merriam's Teratorn,0.082018
1580,Cape Grey Mongoose,0.081183
1581,Ivory-billed Woodpecker,0.080365
1582,Australian Staghound,0.080330
1583,(Eastern) Dire Wolf,0.080320
1584,Colombian White-faced Capuchin (group of 5),0.079832
1585,Bobcat,0.079785
1586,Meadow Vole,0.079146
1587,Alexander Archipelago Wolf,0.078858
1588,Common Snapping Turtle,0.078663
1589,Fawn Antechinus,0.078277
1590,Water Monitor,0.078091
1591,Tasmanian Giant Crab,0.077789
1592,Giant Swan,0.077500
1593,Ring-necked Cobra (Rinkhal),0.077123
1594,Citipati osmolskae,0.076920
1595,Angolan White-throated Monitor,0.076702
1596,Arthropleura armata,0.076625
1597,Green Moray (Eel),0.076064
1598,Doberman Pinscher,0.075592
1599,Irish Wolfhound,0.075177
1600,Airedale Terriers (2),0.075047
1601,Red-legged Seriema (Crested Cariama),0.074871
1602,Machaeroides eothen,0.073888
1603,Coyote,0.073745
1604,Repenomamus giganticus,0.073528
1605,Argus Monitor,0.072789
1606,Black-thighed Falconet,0.072549
1607,Labrador Retriever,0.071905
1608,Harris's Hawk (pair of 2),0.071865
1609,American Lobster,0.071633
1610,Chital,0.071181
1611,Forest Cobra,0.071006
1612,Red-headed Vultures (2),0.070187
1613,Crocodile Monitor,0.069901
1614,Nomura's Jellyfish,0.069775
1615,Velociraptor mongoliensis (pack of 2),0.069265
1616,Airedale Terrier,0.067355
1617,Eurasian Eagle-owl,0.067268
1618,Brongersma's Short-tailed Python,0.066834
1619,Northern Blue-tongued Skink,0.066782
1620,American Badger,0.066517
1621,Jumbo (or Humboldt) Squid,0.066088
1622,Black-backed Jackal (females) (pack of 2),0.065638
1623,Yellow Baboon,0.065577
1624,Great Grey Owl,0.065433
1625,Arabian Red Fox,0.064700
1626,Asian Giant Hornets (4 - 5),0.064242
1627,Deerhound,0.063966
1628,Homo floresiensis (Armed with club),0.063880
1629,Gull Terrier,0.061524
1630,American Akita,0.061481
1631,Blacktip Reef Shark,0.061044
1632,Knight Anole,0.060661
1633,Great Nicobar Serpent Eagle,0.060626
1634,European (Eurasian) Otter,0.060511
1635,Ocelot (female),0.060077
1636,Tasmanian Devil,0.059904
1637,North American River Otter,0.059671
1638,Cimarr n Uruguayo,0.059464
1639,Ethiopian Wolf (Simian jackal),0.059433
1640,Spur-winged Goose,0.059289
1641,Vulturine Guineafowl,0.059073
1642,Binturong (Asian Bearcat),0.058495
1643,Maned Wolf,0.057360
1644,Elongate Tigerfish,0.057137
1645,Black-headed Python,0.056605
1646,Pygmy Python,0.056542
1647,Gaboon Viper,0.056083
1648,Montane Solitary Eagle,0.055964
1649,African Fish Eagle,0.055947
1650,Bonobo (Pygmy Chimpanzee) (female),0.054829
1651,Fallow Deer,0.053814
1652,Gila Monster,0.053675
1653,Indian Hog Deer,0.053601
1654,Palm-nut Vulture,0.053400
1655,Serval (female),0.053250
1656,Carrion Crow,0.053194
1657,Golden Eagle,0.052508
1658,Harris's Hawk (group of 3),0.052460
1659,Small-spotted Catshark,0.051751
1660,Blue Crab,0.050569
1661,Least Weasel,0.050550
1662,Lycaenops ornatus,0.050502
1663,European Conger,0.050453
1664,Andean Condor,0.050076
1665,Indian Wolf Snake,0.049990
1666,Bobcat (female),0.049466
1667,African Golden Wolf,0.049460
1668,Maned Wolf (coalition of 3),0.049309
1669,Brown (Norway) Rat (mischief of 3),0.049272
1670,Rock Monitor,0.048764
1671,Brown Hare,0.048713
1672,California Sheep Head,0.048202
1673,Philippine Eagle,0.048090
1674,Black-and-chestnut Eagle,0.048057
1675,Robust Clubhook Squid,0.047837
1676,Greater Rhea,0.047547
1677,Boryaena tuberata,0.047293
1678,Hooded Crow,0.047203
1679,Tokay Gecko,0.047032
1680,Common Dwarf Mongoose,0.046740
1681,Amur Leopard Cat,0.046689
1682,Norwegian Forest Cat,0.046029
1683,Jaguarundi,0.044788
1684,Marine Iguana,0.044240
1685,Golden Jackal,0.044139
1686,European Pine Marten,0.044137
1687,American Bully,0.043755
1688,Fossa,0.042919
1689,Cubera Snapper,0.042792
1690,Sand Cat,0.042365
1691,Borhyaena tuberata,0.041842
1692,South American Bushmaster,0.041766
1693,African Savanna Hare,0.041744
1694,Lappet-faced Vulture,0.041389
1695,Amblycheila cylindriformis,0.041249
1696,African Wildcat,0.040657
1697,Stoat (Short-tailed Weasel),0.040477
1698,Psittacosaurus lujiatunensis,0.040425
1699,Sable,0.040409
1700,Borzoi,0.039993
1701,Amazonian Giant (Peruvian Giant Yellowleg) Centipede,0.039933
1702,Indian Peafowl,0.039798
1703,Yellow-throated Martens (2),0.039641
1704,Asian Golden Eagle (Berkut),0.039611
1705,Collared Owlet,0.039581
1706,Zebra Mantis Shrimp,0.039564
1707,Anomalocaris spp.,0.039492
1708,Martial Eagle,0.039391
1709,Crocodile Monitor (large male),0.039091
1710,Black Swan,0.038940
1711,African Civet,0.038779
1712,Border Collie,0.038524
1713,Miniature Bull Terrier,0.038261
1714,Eurasian Sparrowhawk,0.038245
1715,Emperor Scorpion,0.038175
1716,Black-backed Jackal,0.038097
1717,Siberian Husky,0.037962
1718,Plain-breasted Hawk,0.037783
1719,Cinereous (Eurasian Black) Vulture,0.037366
1720,Serval,0.037361
1721,Pasimachus californicus,0.036228
1722,Homo floresiensis,0.035977
1723,Yellow-throated Marten (Richness of 4),0.035820
1724,Fuegian Steamer Duck,0.035717
1725,Repenomamus robustus,0.035477
1726,Crab-eating Fox (monogamic pair),0.035360
1727,Lace Monitor,0.034650
1728,Brown Pelican,0.034613
1729,Elf Owl,0.034444
1730,Hammer-headed Bat,0.034225
1731,Kulang Asil,0.034143
1732,Saiga Antelope,0.033240
1733,Jungle Cat,0.032972
1734,Roe Deer,0.032903
1735,African Crowned Eagle,0.032771
1736,Cooper's Hawk,0.032592
1737,Nile Monitor,0.032369
1738,Muskrat,0.031933
1739,Tropical Screech Owl,0.031594
1740,Falkland Islands Wolf (Warrah),0.031559
1741,Goliath Bird Eating Spider,0.031529
1742,Leopard Cat,0.031452
1743,Coelophysis bauri,0.031354
1744,Southern Tamandua (Lesser Anteater),0.031331
1745,Eastern Diamondback Rattlesnake,0.031272
1746,American Bald Eagle,0.030908
1747,Ground (Temminck's) Pangolin,0.030676
1748,Blue Racer,0.030030
1749,Western Marsh Harrier,0.029945
1750,Wedge-tailed Eagle,0.029799
1751,Fisher,0.029765
1752,Indian (Common) Gray Mongoose,0.029761
1753,Tayra,0.029649
1754,Culpeo Zorro (Andean Fox),0.029592
1755,Steller's Sea Eagle,0.029538
1756,North Andean Deer (Taruca),0.029538
1757,Verreaux's (African Black) Eagle,0.029294
1758,Brown (Norway) Rat,0.029222
1759,Thick-billed Raven,0.029214
1760,Collared Pika,0.029173
1761,Garganornis ballmanni,0.029173
1762,Side-striped Jackal,0.029156
1763,Goliath Heron,0.029141
1764,Jagdterrier,0.028847
1765,Oriental Hornet (swarm of 20),0.028799
1766,Brontoscorpio anglicus,0.028721
1767,Thomson's Gazelle,0.028716
1768,American Bullfrog,0.028639
1769,European Hamster,0.028267
1770,Wildcat,0.028066
1771,Indian Black Scorpion,0.027954
1772,Red Junglefowl,0.027850
1773,Cape Griffon (Vulture),0.027827
1774,Northern Bald Eagle,0.027735
1775,Fishing Cat (female),0.027591
1776,Sia ferox,0.027540
1777,Marabou Stork,0.026917
1778,Madagascar (Malagasy) Ground Boa,0.026914
1779,White-backed Vulture,0.026740
1780,Wandering Albatross,0.026605
1781,Royal Antelope,0.026363
1782,Black-chested Buzzard-eagle,0.026362
1783,Common Raccoon,0.026181
1784,West African Gaboon Viper,0.026061
1785,Red Grouper,0.025817
1786,Tasmanian Wedge-tailed Eagle,0.025747
1787,Linheraptor exquisitus,0.025439
1788,Darwin's (Lesser) Rhea,0.025369
1789,Arctic Hare,0.025366
1790,Eastern Grey Kangaroo,0.025071
1791,American Crow,0.024981
1792,Black Drongo,0.024844
1793,Bush Dog,0.024740
1794,Short-eared Owl,0.024371
1795,Megalara garuda,0.024292
1796,New Zealand Longfin Eel,0.024274
1797,Steppe Polecat,0.024179
1798,Brown Snake Eagle,0.023923
1799,Scottish Wildcat,0.023909
1800,Desert Monitor,0.023515
1801,Emu,0.023199
1802,Boerbel,0.023120
1803,Porcupine River Stingray,0.023061
1804,White-headed Vultures (2),0.022988
1805,Short-eared Dog (Small-eared Zorro),0.022677
1806,Golden Tree (Ornate Flying) Snake,0.022345
1807,African Bullfrog,0.022276
1808,European Wildcat,0.022269
1809,Bateleur,0.022179
1810,White-headed Vulture,0.022153
1811,Rusty-spotted Cat,0.022078
1812,Patterdale Terrier,0.022020
1813,Red-Bellied Piranha (school of 2),0.021975
1814,Scottish Wild Cat,0.021963
1815,African Clawless Otter,0.021809
1816,Southern Ground-hornbills (2),0.021603
1817,White-tailed Hawk,0.021528
1818,Greater Roadrunner,0.021249
1819,Thylophorops lorenzinii,0.021023
1820,Little Brown Bat,0.020860
1821,Spotted-tail (Tiger) Quoll,0.020553
1822,Southern Giant Petrel,0.020546
1823,Greater Grison,0.020444
1824,Shoebill,0.020068
1825,Red-headed Vulture,0.019558
1826,Eastern (Common) Brown Snake,0.019425
1827,Giant Snakehead,0.019366
1828,Great Horned Owl,0.019091
1829,Argentine Black and White Tegu,0.019082
1830,Goliath Frog,0.018959
1831,Burrowing Owl,0.018712
1832,Sunda Leopard Cat,0.018635
1833,Northern Grasshopper Mouse,0.018313
1834,Shar Pei,0.018021
1835,Lar Gibbon,0.017909
1836,Blue Iguana,0.017874
1837,Tibetan (Sand) Fox,0.017843
1838,Fahaka Pufferfish,0.017794
1839,Pygmy Coral Snake,0.017787
1840,Mute Swan,0.017624
1841,Asian Giant Hornet,0.017535
1842,Slender Mongoose,0.017489
1843,Tibetan Macaque,0.017479
1844,Ornitholestes hermanni,0.017434
1845,Cuban Rock Iguana,0.017374
1846,Black-footed Cat,0.017367
1847,Royal (Ball) Python,0.017346
1848,Alexandrine Parakeet,0.017200
1849,Black Hawk-eagle,0.017118
1850,Hyaenodon mustelinus,0.017068
1851,Booted Eagle,0.016963
1852,North American Porcupine,0.016891
1853,Southern Mussurana,0.016837
1854,Wild Turkey,0.016806
1855,White-tailed Dunnart,0.016549
1856,Cuban Giant Owl,0.016451
1857,Eastern Indigo Snake,0.016419
1858,Redeye (Black) Piranha,0.016399
1859,Pallas's Cat,0.016376
1860,American Kestrel,0.016366
1861,Spotted Owl,0.016281
1862,Marbled Cat,0.016175
1863,Common Vampire Bat,0.016103
1864,Gambian Pouched Rat,0.015918
1865,Gobiconodon spp.,0.015913
1866,Bonelli's Eagle,0.015893
1867,House Crow,0.015840
1868,Blue Jay (band of 5),0.015580
1869,White-tailed Sea Eagle,0.015473
1870,Jack Russell Terrier,0.015389
1871,Black Rat,0.015382
1872,Yamaceratops dorngobiensis,0.015300
1873,Southern Grasshopper Mouse,0.015229
1874,Bornean Bay Cat,0.015216
1875,Bearded Vulture,0.015144
1876,White-tailed Jackrabbit,0.014935
1877,Raccoon Dog,0.014709
1878,Common Eider,0.014621
1879,Brown Paper Wasp,0.014579
1880,Red Fox,0.014498
1881,Red Kite,0.014455
1882,Fer de Lance (Lancehead Pit Viper),0.014428
1883,Sectretary Bird,0.014388
1884,Sharpe's Grysbok,0.014277
1885,R ppell's Griffon Vulture,0.014109
1886,American Black Vulture,0.014054
1887,American Marten,0.014042
1888,Ferruginous Hawk,0.014000
1889,Red Panda,0.013965
1890,Brazilian Giant Tawny Red Tarantula,0.013910
1891,Australian Magpies (2),0.013817
1892,Rhesus Macaque,0.013766
1893,Tawny Eagle,0.013736
1894,Asian Small-clawed Otter,0.013545
1895,Corsac Fox,0.013360
1896,Standard Poodle,0.013277
1897,Yellow-throated Marten,0.013226
1898,Gray Fox,0.013182
1899,Mussurana,0.013071
1900,Lesser Grison,0.012968
1901,Great Black-backed Gull,0.012889
1902,Chinese Desert (or Mountain) Cat,0.012667
1903,Magnificent Frigatebird,0.012508
1904,Laughing Kookaburra,0.012478
1905,Red-tailed Hawk,0.012377
1906,Toque Macaque,0.012278
1907,Peregrine Falcon,0.012247
1908,Pygmy (Short-tailed) Monitor,0.012101
1909,Bearded Vulture (Lammergeier),0.011961
1910,Auckland Tree Weta (male),0.011961
1911,Margay,0.011868
1912,White-throated Monitor,0.011765
1913,Egyptian Giant Solpugid,0.011733
1914,Coconut (Robber) Crab,0.011571
1915,Wild Turkey (rafter of 2),0.011542
1916,Turkey Vulture,0.011501
1917,Silvery Marmoset,0.011157
1918,Shiba Inu,0.011156
1919,Asiatic Wildcat,0.011125
1920,Great Skua (Bonxie),0.011119
1921,Mangrove Monitor,0.011043
1922,Banded Mongoose,0.010990
1923,Rook,0.010950
1924,Bengal (Common Indian) Monitor,0.010927
1925,Himalayan Red Panda,0.010871
1926,Trumpeter Swan,0.010870
1927,Eurasian Eagle Owl,0.010840
1928,Southern Ground-hornbill,0.010818
1929,Common Green Iguana,0.010812
1930,Himalayan Vulture,0.010736
1931,Northern Pike,0.010646
1932,Geoffroy's Cat,0.010626
1933,Barbary Macaque,0.010578
1934,Black-billed Magpie,0.010557
1935,Pampas Deer,0.010377
1936,Anatolian Predatory Bush-cricket,0.010348
1937,Vervet Monkey,0.010308
1938,Gyrfalcon,0.010253
1939,Common Octopus,0.010234
1940,Common Raven,0.010176
1941,Spectral Bat,0.010044
1942,Common (Small-spotted) Genet,0.009841
1943,Common Barn Owl,0.009513
1944,Crab-eating Fox,0.009327
1945,American Mink,0.009292
1946,European Honey Buzzard,0.009287
1947,Eastern (or Asian) Imperial Eagle,0.009179
1948,Horrid King Assassin Bug,0.009098
1949,Butler's Garter Snake,0.009018
1950,Great Flying Fox,0.009001
1951,Cozumel Raccoon,0.008961
1952,O Shamo' (Shamo Chicken),0.008925
1953,Bengal Cat (female),0.008879
1954,Verreaux's (Giant) Eagle-Owl,0.008765
1955,Patas Monkey,0.008741
1956,Cape Fox,0.008667
1957,Western Pygmy Marmoset,0.008656
1958,Fennec Fox,0.008447
1959,Surinam Horned Frog,0.008413
1960,Gentoo Penguin,0.008392
1961,Coastal Taipan,0.008356
1962,Red-throated Loon,0.008354
1963,Spot-bellied Eagle-owl,0.008332
1964,Sugar Glider,0.008250
1965,Little Owl,0.008244
1966,Canada Goose,0.008224
1967,Northern Goshawk,0.008087
1968,Japanese Spider Crab,0.007862
1969,Yi qi,0.007835
1970,King Brown (Mulga) Snake,0.007814
1971,Snowy (Arctic) Owl,0.007799
1972,Molina s Hog-nosed Skunk,0.007730
1973,Russian Toy Terrier,0.007715
1974,Common Raven (unkindness of 4),0.007684
1975,Asian House Shrew,0.007487
1976,Mertens' Water Monitor,0.007361
1977,Savannah Monitor,0.007275
1978,Brown Skua,0.007269
1979,American Red Fox,0.007258
1980,Tawny Frogmouth,0.007120
1981,Secretary Bird,0.006948
1982,Osprey,0.006925
1983,Indian Eagle-owl,0.006890
1984,Giant Petaltail,0.006791
1985,White-bellied Sea Eagle,0.006740
1986,Arctic Fox,0.006687
1987,Sulphur-crested Cockatoo,0.006642
1988,Giant Huntsman Spider,0.006577
1989,Miniature Fox Terrier,0.006513
1990,Proailurus lemanensis,0.006481
1991,Giant Desert Centipede,0.006434
1992,Dragon Headed Katydid,0.006336
1993,South American Coati,0.006303
1994,Roe Deer (Doe),0.006298
1995,Myrmecia brevinoda,0.006291
1996,Pygmy Hog,0.006230
1997,Lettered Ara ari,0.006228
1998,Archaeopteryx lithographica,0.006132
1999,Cobalt Blue Tarantula,0.006007
2000,Snow Petrel,0.005882
2001,Eastern Garter Snake,0.005863
2002,Indian Peacock,0.005861
2003,Herring Gull,0.005757
2004,Compsognathus longipes,0.005624
2005,Oncilla (Little Spotted Cat),0.005452
2006,Shih Tzu,0.005292
2007,King Vulture,0.005121
2008,Aardwolf,0.005099
2009,Papuan Harpy Eagle,0.005074
2010,Triconodon mordax,0.004940
2011,Giant Desert Hairy Scorpion,0.004912
2012,Mallard Duck,0.004886
2013,Striped Skunk,0.004882
2014,Chinese Mantis,0.004713
2015,Hercules Beetle,0.004691
2016,Striped Polecat,0.004635
2017,Great Blue Heron,0.004632
2018,Elephant Beetle,0.004622
2019,Giant Golden-crowned Flying-fox,0.004590
2020,Feral Cat,0.004566
2021,Tarantula Hawk Wasp,0.004534
2022,Pig-nosed Turtle,0.004489
2023,Venezuelan Red Howler,0.004132
2024,Grey Heron,0.004094
2025,Reeves's Muntjac,0.003978
2026,Blakiston's Fish-owl,0.003888
2027,Inland Taipan (Fierce Snake),0.003882
2028,Southern Crested Caracara,0.003858
2029,Virginia Opossum,0.003742
2030,Klipspringer,0.003722
2031,Malay Chicken,0.003663
2032,Collared Mangabey,0.003615
2033,Desmarest's Hutia,0.003598
2034,Northern (Abyssinian) Ground Hornbill,0.003546
2035,Mexican Beaded LIzard,0.003397
2036,Loggerhead Shrike,0.003395
2037,Manticora Tiger Beetle,0.003395
2038,Eugryllacris guomashan,0.003340
2039,Russian Blue,0.003300
2040,Chihuahua,0.003275
2041,Black-footed Ferret,0.003268
2042,Australian (Torresian) Crow,0.003254
2043,Powerful Owl,0.003191
2044,Emerald Tree Boa,0.003108
2045,Malayan Civet,0.003099
2046,Pallas's Fish Eagle,0.003087
2047,Sago pedo,0.003054
2048,Brown Crab,0.003047
2049,White-tailed Mongoose,0.002985
2050,Two-spotted Ground Beetle,0.002976
2051,Serama (Rooster),0.002920
2052,Harris's Hawk,0.002908
2053,Nine-banded Armadillo,0.002867
2054,Blond Capuchins (2),0.002792
2055,Black Mamba,0.002731
2056,Black-tailed Rattlesnake,0.002717
2057,Western Siberian Eagle Owl,0.002691
2058,Gold Tegu,0.002579
2059,Dalmatian Pelican,0.002456
2060,Woma Python,0.002263
2061,African (Common) Puff Adder,0.002203
2062,Malay (Rooster),0.002188
2063,Common Ravens (2),0.002059
2064,Beelzebufo ampinga,0.001993
2065,Grey Fox (Vixen),0.001953
2066,Hooded Vulture,0.001941
2067,Border Terrier,0.001926
2068,Island Fox,0.001916
2069,Wood Stork,0.001818
2070,Egyptian Vulture,0.001785
2071,Common Kingsnake,0.001747
2072,Wallace's Giant Bee,0.001269
2073,Big Brown Bat,0.001219
2074,Cozumel (Pygmy) Raccoon,0.001165
2075,Western Diamondback Rattlesnake,0.001138
2076,Banded Krait,0.000527
