rank,animal,crowd_score,normalized,rescaled,category
136,Siamotyrannus isanensis,50.299317,492.2005,6267.9414,dinosaur
137,Deinosuchus rugosus,177.235392,1734.3247,6189.0196,mesozoic-other
138,Gargoyleosaurus parkpinorum,49.201567,481.4585,6131.1477,dinosaur
139,Edmontosaurus annectens,48.385734,473.4753,6029.4844,dinosaur
140,Thanos simonattoi,48.026741,469.9624,5984.7493,dinosaur
141,Megaraptor namunhuaiquii,46.771631,457.6806,5828.3464,dinosaur
142,Perucetus colossus,590.526256,5778.5541,5778.5541,non-mesozoic
143,Tenontosaurus tilletti,45.512075,445.3553,5671.3895,dinosaur
144,Sarcosuchus imperator,159.395219,1559.7510,5566.0448,mesozoic-other
145,Asiatic Lion (pride of 4/5),561.708935,5496.5641,5496.5641,non-mesozoic
146,Cryolophosaurus ellioti,43.915457,429.7317,5472.4304,dinosaur
147,Shaochilong maortuensis,43.619280,426.8335,5435.5230,dinosaur
148,Otodus obliquus,551.445245,5396.1295,5396.1295,non-mesozoic
149,Aletopelta coombsi,42.642209,417.2724,5313.7674,dinosaur
150,Utahceratops gettyi,42.282693,413.7544,5268.9670,dinosaur
151,Teratophoneus curriei,38.511180,376.8485,4798.9880,dinosaur
152,Arabian Elephant,484.435443,4740.4097,4740.4097,non-mesozoic
153,American Lion (Coalition of 3 - 5),484.135100,4737.4707,4737.4707,non-mesozoic
154,Gigantoraptor erlianensis,36.313412,355.3424,4525.1179,dinosaur
155,Hesperosaurus mjosi,36.124959,353.4983,4501.6342,dinosaur
156,Teratosaurus spp.,34.130276,333.9795,4253.0711,dinosaur
157,Columbian Mammoth,428.988972,4197.8421,4197.8421,non-mesozoic
158,Utahraptor ostrommaysorum,33.437496,327.2003,4166.7418,dinosaur
159,Rhamphosuchus crassidens,420.287246,4112.6919,4112.6919,non-mesozoic
160,Baryonyx walkeri,31.783037,311.0107,3960.5749,dinosaur
161,Paraceratherium bugtiense,396.570264,3880.6110,3880.6110,non-mesozoic
162,Basilosaurus cetoides,391.067942,3826.7684,3826.7684,non-mesozoic
163,Rhomaleosaurus spp.,108.707221,1063.7470,3796.0314,mesozoic-other
164,"Neanderthal (armed with spears, troop of 10)",379.613497,3714.6818,3714.6818,non-mesozoic
165,Ekrixinatosaurus novasi,28.126960,275.2344,3504.9808,dinosaur
166,Sperm Whale (Cow),350.431353,3429.1219,3429.1219,non-mesozoic
167,Anancus arvernensis,348.283971,3408.1088,3408.1088,non-mesozoic
168,Herrerasaurus ischigualastensis,27.288074,267.0256,3400.4448,dinosaur
169,Deinotherium thraceiensis,338.835485,3315.6513,3315.6513,non-mesozoic
170,Leedsichthys problematicus,94.662351,926.3119,3305.5878,mesozoic-other
171,Smilosuchus gregorii,87.341607,854.6753,3049.9490,mesozoic-other
172,Orca (Killer Whale),303.537950,2970.2497,2970.2497,non-mesozoic
173,African (Cape) Buffalo (herd of 10),302.835251,2963.3735,2963.3735,non-mesozoic
174,Saurosuchus galilei,84.784662,829.6545,2960.6611,mesozoic-other
175,Tylosaurus nepaeolicus,84.282825,824.7438,2943.1371,mesozoic-other
176,American Mastodon,296.005930,2896.5457,2896.5457,non-mesozoic
177,Lion Coalition of 5 Lions,289.439641,2832.2917,2832.2917,non-mesozoic
178,Erythrosuchus africanus,80.730341,789.9812,2819.0851,mesozoic-other
179,Rugops primus,21.780835,213.1349,2714.1720,dinosaur
180,Vorombe titan,275.966921,2700.4553,2700.4553,non-mesozoic
