rank,animal,power,category
261,Salmon Shark (salmon/river battle),50.320348,non-mesozoic
262,Siamotyrannus isanensis,50.299317,dinosaur
263,Antarctic (Southern) Minke Whale,49.342871,non-mesozoic
264,Gargoyleosaurus parkpinorum,49.201567,dinosaur
265,Aurochs,49.030790,non-mesozoic
266,Titanoboa cerrejonensis,48.641611,non-mesozoic
267,Edmontosaurus annectens,48.385734,dinosaur
268,Thanos simonattoi,48.026741,dinosaur
269,European Cave Bear,47.157646,non-mesozoic
270,Smok wawelski,47.047238,mesozoic-other
271,Megaraptor namunhuaiquii,46.771631,dinosaur
272,Greenland Shark,46.045453,non-mesozoic
273,Tenontosaurus tilletti,45.512075,dinosaur
274,Megalochoerus khinzikebirus,45.247400,non-mesozoic
275,Giant (Long-horned) Bison,45.050076,non-mesozoic
276,Pelorovis antiquus,44.306297,non-mesozoic
277,Dhole (Pack of 12),44.247926,non-mesozoic
278,Cryolophosaurus ellioti,43.915457,dinosaur
279,Dholes (Large Pack),43.852793,non-mesozoic
280,Shaochilong maortuensis,43.619280,dinosaur
281,Agriotherium africanum,43.320211,non-mesozoic
282,Bull Shark (in shallow water),43.202698,non-mesozoic
283,Aletopelta coombsi,42.642209,dinosaur
284,Machairodus lahayishupup,42.562096,non-mesozoic
285,Spotted Hyenas (clan of 4),42.545879,non-mesozoic
286,Epicyon haydeni (pack of 4),42.303688,non-mesozoic
287,Utahceratops gettyi,42.282693,dinosaur
288,Harlan's Ground Sloth,41.912792,non-mesozoic
289,Southern Elephant Seal,41.869136,non-mesozoic
290,Spotted Hyenas (clan of 10),41.412699,non-mesozoic
291,West African Lion,40.414482,non-mesozoic
292,Giant (Short-faced) Hyena (clan of 3),40.181910,non-mesozoic
293,Teratophoneus curriei,38.511180,dinosaur
294,Nile Crocodile,38.130171,non-mesozoic
295,Polar Bear,37.655298,non-mesozoic
296,Atlantic Walrus,36.902839,non-mesozoic
297,Lioness (pride of 2),36.616779,non-mesozoic
298,Gigantoraptor erlianensis,36.313412,dinosaur
299,Great White Shark (male),36.143897,non-mesozoic
300,Hesperosaurus mjosi,36.124959,dinosaur
301,Lion (coalition of 5),35.990273,non-mesozoic
302,Dire Wolf (pack of 5),35.843247,non-mesozoic
303,Tiger Shark,35.668912,non-mesozoic
304,Andrewsarchus mongoliensis,35.591982,non-mesozoic
305,Grey Wolf (pack of 10),35.324715,non-mesozoic
306,Pleistocene Polar Bear,35.140727,non-mesozoic
307,Metamynodon planifrons,34.885066,non-mesozoic
308,Megalania prisca,34.420368,non-mesozoic
309,Teratosaurus spp.,34.130276,dinosaur
310,Smilodon populator,33.866219,non-mesozoic
311,Sarkastodon mongoliensis,33.748240,non-mesozoic
312,Utahraptor ostrommaysorum,33.437496,dinosaur
313,Amphicyon ingens,33.042169,non-mesozoic
314,Tapinocephalus atherstonei,32.738217,non-mesozoic
315,Spotted Hyenas (clan of 5/6),32.296835,non-mesozoic
316,Acrophyseter deinodon,31.848716,non-mesozoic
317,Baryonyx walkeri,31.783037,dinosaur
318,Megistotherium osteothlastes,31.324113,non-mesozoic
319,Leptosuchus spp.,31.315390,mesozoic-other
320,Pygmy Mammoth,31.131044,non-mesozoic
321,Dire Wolf (pack of 8),30.879623,non-mesozoic
322,Inostrancevia alexandri,30.875932,non-mesozoic
323,Dromornis stirtoni,30.704278,non-mesozoic
324,Arctic Wolf (Pack of 8-10),30.555800,non-mesozoic
325,Coastal Brown Bear,29.964944,non-mesozoic
326,Florida Black Bear,29.857801,non-mesozoic
327,American Bison,29.415312,non-mesozoic
328,Xenosmilus hodsonae,29.370917,non-mesozoic
329,Whale Shark,29.262544,non-mesozoic
330,Mylodon darwini,28.250766,non-mesozoic
331,Ekrixinatosaurus novasi,28.126960,dinosaur
332,Machairodus horribilis,28.052821,non-mesozoic
333,Plains Bison,27.797665,non-mesozoic
334,Tiger,27.745517,non-mesozoic
335,Indian Gaur,27.554914,non-mesozoic
336,Herrerasaurus ischigualastensis,27.288074,dinosaur
337,Archelon ischyros,26.943345,mesozoic-other
338,Kodiak Bear,26.830861,non-mesozoic
339,Western Gorilla (troop of 3),26.817574,non-mesozoic
340,Megalochelys atlas,26.805520,non-mesozoic
341,Lion (Pride of 10),26.662555,non-mesozoic
342,European Hippopotamus,26.478628,non-mesozoic
343,Borneo Pygmy Elephant,26.119226,non-mesozoic
344,Giant (Short-faced) Hyena (clan of 5),26.086176,non-mesozoic
345,Equus giganteus,26.036963,non-mesozoic
346,Percrocuta spp. (clan of 4/5),25.984462,non-mesozoic
347,Walrus,25.197198,non-mesozoic
348,Giraffe,25.087709,non-mesozoic
349,Grey Wolf (Pack of 8/9),25.008365,non-mesozoic
350,Barbourofelis fricki,24.845873,non-mesozoic
351,American Lion,24.732763,non-mesozoic
352,Phoberomys pattersoni,24.624373,non-mesozoic
353,Northwestern Wolf (pack of 7/8),24.578048,non-mesozoic
354,African Wild Dog (pack of 12),24.497003,non-mesozoic
355,Dire Wolves (pack of 3),24.298828,non-mesozoic
356,Sumatran Rhinoceros,24.284903,non-mesozoic
357,Quinkana fortirostrum,23.480521,non-mesozoic
358,Quercylurus major,23.214049,non-mesozoic
359,Postosuchus kirkpatricki,23.086910,mesozoic-other
360,Smilodon fatalis,22.961718,non-mesozoic
361,Aurochs (Pleistocene),22.885825,non-mesozoic
362,Inland Grizzly Bear,22.874026,non-mesozoic
363,Grey Wolves (pack of 3),22.624363,non-mesozoic
364,Sivatherium giganteum,22.310694,non-mesozoic
365,Xiphiorhynchus rotundus,22.005988,non-mesozoic
366,(Wild) Water Buffalo,21.999025,non-mesozoic
367,Rugops primus,21.780835,dinosaur
368,Dakotaraptor steini,21.535492,dinosaur
369,Epicyon haydeni (pack of 3),20.860368,non-mesozoic
370,Mourasuchus amazoniensis,20.537389,non-mesozoic
371,Wood Bison,20.532622,non-mesozoic
372,Alioramus remotus,20.263024,dinosaur
373,Neanderthals (3) (armed with spears),20.085715,non-mesozoic
374,Pseudocyon sansaniensis,19.796584,non-mesozoic
375,Southern Bottlenose Whale,19.723902,non-mesozoic
376,Deinonychus antirrhopus (pack of 3/4),19.689276,dinosaur
377,American Crocodile,19.614421,non-mesozoic
378,Ussuri Brown Bear,19.571124,non-mesozoic
379,Grey Wolf (Pack of 3/4 adults),19.325374,non-mesozoic
380,Narwhal,19.319452,non-mesozoic
381,Megalosaurus bucklandii,19.270188,dinosaur
382,Irish Elk,19.222574,non-mesozoic
383,Western Moose,19.105491,non-mesozoic
384,Alaskan Penisula Brown Bear,19.101946,non-mesozoic
385,Broad-fronted Moose,18.747648,non-mesozoic
386,Smilodon fatalis (female),18.662790,non-mesozoic
387,Dhole (Pack of 10),18.399554,non-mesozoic
388,Florida Short-faced (Cave) Bear,18.349238,non-mesozoic
389,Dinofelis spp.,18.315608,non-mesozoic
390,Gigantopithecus blacki (coalition of 2),18.207089,non-mesozoic
391,Asiatic Lioness (pride of 2),18.038174,non-mesozoic
392,Shortfin Mako Shark,17.877150,non-mesozoic
393,Spotted Hyenas (clan of 6),17.856420,non-mesozoic
394,Grey Wolf (Pack of 5),17.530861,non-mesozoic
395,Pleistocene Jaguar,17.502431,non-mesozoic
396,Ophthalmosaurus icenicus,17.459682,mesozoic-other
397,Ancient Bison,17.443294,non-mesozoic
398,Kerberos langebadreae,17.308333,non-mesozoic
399,Mastodonsaurus spp.,17.238391,mesozoic-other
400,Steller's (Northern) Sea Lion,17.049247,non-mesozoic
401,American Alligator,16.993972,non-mesozoic
402,Polar Bear (sow),16.912058,non-mesozoic
403,Orca (female),16.865216,non-mesozoic
404,Kamchatka Brown Bear,16.671328,non-mesozoic
405,Giant Beaver,16.621636,non-mesozoic
406,Syrian Brown Bear,16.531086,non-mesozoic
407,Rubidgea atrox,16.471496,non-mesozoic
408,Pacific Sleeper Shark,16.421458,non-mesozoic
409,African Wild Dog (pack of 8),16.301432,non-mesozoic
410,Barbary Lion,16.024009,non-mesozoic
411,Aurochs (Holocene),16.009390,non-mesozoic
412,Lion,15.988556,non-mesozoic
413,Hyaenodon gigas,15.987219,non-mesozoic
414,European Jaguar,15.863335,non-mesozoic
415,Amphicyon frendens,15.778914,non-mesozoic
416,Woods Bison,15.613429,non-mesozoic
417,Broad-fronted (Giant) Moose,15.449504,non-mesozoic
418,Dinocrocuta gigantea (clan of 3),15.404186,non-mesozoic
419,Atlas Bear,15.306814,non-mesozoic
420,Ngandong Tiger,15.285969,non-mesozoic
421,Gaur,15.213038,non-mesozoic
422,American Scimitar,15.172985,non-mesozoic
423,Orinoco Crocodile,15.150685,non-mesozoic
424,Megantereon cultridens,15.069685,non-mesozoic
425,Brown Hyena (clan of 2),15.032736,non-mesozoic
426,Grizzly Bear,15.002422,non-mesozoic
427,Wanhsien Tiger,14.904597,non-mesozoic
428,Kubanochoerus gigas,14.778733,non-mesozoic
429,Tibetan Mastiffs(2),14.696073,non-mesozoic
430,African (Cape) Buffalo,14.624242,non-mesozoic
431,Wild Yak,14.608791,non-mesozoic
432,Kodiak bear,14.565477,non-mesozoic
433,Arabian Wolf (pack of 5/6),14.395716,non-mesozoic
434,Glyptodon clavipes,14.186138,non-mesozoic
435,Amphicyon major,14.138739,non-mesozoic
436,Achillobator giganticus,14.034806,dinosaur
437,Spotted Hyena (clan of 3),13.993436,non-mesozoic
438,Sillosuchus longicervix,13.813559,mesozoic-other
439,Neovenator salerii,13.790716,dinosaur
440,Dilophosaurus wetherilli,13.774523,dinosaur
441,Dakosaurus maximus,13.724486,mesozoic-other
442,Arctic Wolf (Pack of 2),13.582875,non-mesozoic
443,Deuterosaurus spp.,13.543648,dinosaur
444,Harpagolestes immanis,13.482774,non-mesozoic
445,Grey Wolf (Pack of 4),13.450458,non-mesozoic
446,Eurasian Brown Bear,13.437368,non-mesozoic
447,Mexican Grizzly Bear,13.324879,non-mesozoic
448,Trinil Tiger,13.314242,non-mesozoic
