Eurasian Lynx,Nimravus brachyops,0.14,7
Cougar,South American Sea Lion,0.29,7
Scottish Wildcat,Common Raccoon,0.41,34
Serval (female),Common Raccoon,0.56,18
African Golden Cat,African Civet,1,5
Caracal,African Civet,1,5
Ocelot,African Civet,0.8712871287,8
Ocelot,Binturong (Asian Bearcat),0.84,19
Sand Cat,Common (Small-spotted) Genet,0.6237623762,8
Cheetah,Impala,1,13
Cougar,Nilgai,0.8,15
Cougar,Rocky Mountain Bighorn Sheep,0.86,21
Eurasian Lynx,Impala,0.8712871287,16
Cougar,Guanaco,0.83,24
Cheetah,White-tailed Deer,0.78,9
Cougar,Rocky Mountain Elk,0.5,12
Cougar,Tule Elk,0.64,11
Eurasian Lynx,Mule Deer,0.3762376238,8
Eurasian Lynx,North Andean Deer (Taruca),0.87,15
European Wildcat,Roe Deer (Doe),0.8,5
Iberian Lynx,Roe Deer,1,5
Scottish Wildcat,Reeves's Muntjac,0.8712871287,8
Cougar,Patriofelis ferox,0.9,10
Cheetah (coalition of 5),Giraffe,0,29
Cougar,Okapi,0.7,20
European Wildcat,Gobiconodon spp.,0.6,5
Sand Cat,White-tailed Jackrabbit,0.75,8
African Golden Cat,Red-necked (Bennett's) Wallaby,1,5
Bobcat,Tasmanian Devil,0.57,21
Eurasian Lynx,Thylacine,0.56,16
Jaguarundi,Tasmanian Devil,0.27,15
Margay,Spotted-tail (Tiger) Quoll,0.25,4
Ocelot,Common Wombat,0.58,19
Ocelot,Thylacine,0.23,13
Scottish Wildcat,Tasmanian Devil,0.26,19
Wildcat,Spotted-tail (Tiger) Quoll,0.64,14
Cheetah (coalition of 5),Plains (Common) Zebra,0.8,10
Cougar,American Mammoth Jackstock (Donkey),0.6,10
Cougar,Livestock Gaurdian Donkey,0.84,25
Cougar,Mountain Tapir,1,4
Cougar,Wild Horse,0.45,22
Bengal Cat,Grivet,0.71,7
Brazilian she-Puma,Common Chimpanzee,0.77,13
Caracal,Guinea Baboon,0.3762376238,16
Caracal,Northern Plains Gray Langur,1,8
Cheetah,Chacma Baboon,0.86,28
Cheetah,Common Chimpanzee,0.51,68
Cheetah (coalition of 5),Common Chimpanzee (troop of 5),0.48,23
Cheetah (coalition of 3/4),Eastern Gorilla,0.39,28
Cheetah,Human (male),0.43,46
Cheetah (coalition of 2),Human (strong male),0.69,16
Cheetah,Mandrill,0.58,26
Cheetah,Olive Baboon,0.87,23
Cougar (female),Human,0.88,26
Cougar,Mandrill (coalition of 2),0.73,22
Cougar,Western Gorilla,0.36,61
Eurasian Lynx,Chacma Baboon,0.56,16
Eurasian Lynx,Common Chimpanzee,0.24,38
Eurasian Lynx,Homo floresiensis,0.75,12
Eurasian Lynx,Olive Baboon,0.56,45
Giant Cheetah,Eastern Gorilla,0.2,15
Jaguarundi,Northern Muriqui,1,2
Ocelot,Colombian White-faced Capuchin (group of 5),0.6,5
Serval,Rhesus Macaque,0.73,15
Giant Cheetah,Cyprus Dwarf Elephant,0.1287128713,8
Black-footed Cat,Indian Giant Squirrel,1,4
Black-footed Cat,Muskrat,1,6
Black-footed Cat,Northern Luzon Giant Cloud Rat,1,8
Bobcat,North American Beaver,1,10
Caracal,African Crested Porcupine,0.08,13
Cheetah,African Crested Porcupine,0.5,8
Iriomote Cat,East Timor Giant Rat,0.71,14
Jungle Cat,Indian Crested Porcupine,0.33,3
Ocelot,Pacarana,1,6
Bobcat,Collared Peccary (Javelina),0.27,11
Brazilian she-Puma,Chacoan Peccary,1,11
Cheetah,Desert Warthog,0.25,20
Cheetah (coalition of 2),Warthog (Boar),0.8,20
Cheetah,Red River Hog,0.25,8
Cougar,Bushpig,0.79,14
Cougar,Collared Peccary (Javelina) (pack of 3),0.6237623762,8
Cougar,Common Warthog,0.89,27
Eurasian Lynx,Collared Peccary (Javelina),0.8,10
Eurasian Lynx,Indonesian Wild Boar (Banded Pig),0.86,7
Giant Cheetah,Indian Boar,0.47,15
Marbled Cat,Pygmy Hog,0.71,7
Ocelot (male),Collared Peccary (Javelina),0.44,18
Eurasian Lynx,Borhyaena tuberata,0.83,6
Black-footed Cat,Triconodon mordax,0.8,5
Bobcat (female),Southern Tamandua (Lesser Anteater),0.6,5
Brazilian she-Puma,Giant Anteater,0.73,26
Cheetah,Giant Anteater,0.19,36
Cougar,Shasta Ground Sloth,0.3,10
Geoffroy's Cat,Nine-banded Armadillo,0.83,6
Jaguarundi,Southern Tamandua (Lesser Anteater),0.47,15
Asian Golden Cat,Lycaenops ornatus,0.67,6
Brazilian Puma,Broad-snouted Caiman,0.67,12
Caracal,Cuvier's Dwarf Caiman,0.58,19
Cheetah (coalition of 3),Indian Gharial (Gavial),0.86,7
Cheetah,Spectacled Caiman,0.58,24
Cougar,Black Caiman (cow),0.33,3
Florida Panther,Yacare Caiman,0.86,28
Jaguarundi,Cuvier's Dwarf Caiman,0.43,7
Ocelot,Cuvier's Dwarf Caiman,0.5,4
Ocelot,Smooth-fronted Caiman,0.44,9
African Golden Cat,Rock Monitor,0.83,6
Asian Golden Cat,Water Monitor,0.6237623762,8
Asiatic Cheetah,Asian Water Monitor,0.73,11
Caracal,Crocodile Monitor,0.7,10
Caracal,Nile Monitor,0.64,14
Cheetah,Komodo Dragon,0.07,43
Cougar,Komodo Dragon,0.57,44
Eurasian Lynx (female),Perentie,0.81,16
Giant Cheetah,Komodo Dragon,0.41,17
Margay,Argentine Black and White Tegu,0.45,11
Margay,Gold Tegu,1,7
Ocelot,Asian Water Monitor,0.57,23
Rusty-spotted Cat,Gila Monster,0.3762376238,8
Serval (female),Argentine Black and White Tegu,0.83,6
Serval,Crocodile Monitor,0.34,38
Wildcat,Argentine Black and White Tegu,0.62,13
Asian Golden Cat,Brongersma's Short-tailed Python,0.6,10
African Golden Cat,Gaboon Viper,0.73,11
Black-footed Cat,Black Mamba,0.67,9
Bobcat,Boa Constrictor,0.33,9
Cheetah,African Rock Python,0.18,28
Cougar,Green Anaconda,0.67,36
Eurasian Lynx,Indian Python,0.32,19
Eurasian Lynx,Papuan Python,0.89,9
Florida Panther,Burmese Python,0.74,27
Giant Cheetah,Reticulated Python,0.68,19
Ocelot,Red-tailed Boa,0.47,19
Rusty-spotted Cat,Royal (Ball) Python,0.58,12
Serval,King Cobra,0.57,7
Ocelot,Alligator Snapping Turtle,0.46,13
African Golden Cat,Lappet-faced Vulture,0.73,11
African Wildcat,Goliath Heron,0.69,13
African Wildcat,Secretary Bird,0.76,21
African Wildcat,Southern Ground-hornbill,1,5
African Wildcat,Verreaux's (Giant) Eagle-Owl,0.71,14
African Wildcat,White-headed Vulture,0.83,6
American Cheetah,Titanis walleri,0.14,14
Asiatic Wildcat,Eurasian Eagle Owl,0.5,14
Black-footed Cat,Harris's Hawk (pair of 2),0.2,10
Black-footed Cat,White-headed Vulture,0.27,11
Bobcat,African Crowned Eagle,0.69,26
Bobcat,Harpy Eagle,0.68,25
Canadian Lynx,American Bald Eagle,0.89,9
Caracal,Cuban Giant Owl,0.92,13
Caracal,Harpy Eagle,0.57,28
Cheetah,Andalgalornis steulleti,0.33,15
Cheetah,Golden Eagle (aerie of 2),0.77,26
Cheetah,Ostrich,0.45,40
Chinese Desert (or Mountain) Cat,Bearded Vulture (Lammergeier),1,6
Cougar,Haast's Eagle,0.88,41
Cougar,South Island Giant Moa,0.83,12
Eurasian Lynx,Golden Eagle (aerie of 2),0.7,10
Eurasian Lynx,Haast's Eagle,0.41,34
European Wildcat,American Bald Eagle,0.5,12
European Wildcat,Muscovy Duck,1,10
European Wildcat,Eurasian Eagle Owl,0.77,13
Feral Cat,Western Siberian Eagle Owl,0.64,11
Fishing Cat,Steller's Sea Eagle,1,7
Jaguarundi,Great Blue Heron,0.92,12
Jaguarundi,Lappet-faced Vulture,0.38,13
Leopard Cat,White-tailed Sea Eagle,0.25,4
Ocelot,Haast's Eagle,0.26,19
Ocelot,Harpy Eagle,0.53,30
Russian Blue,Steller's Sea Eagle,0.09,11
Rusty-spotted Cat,Common Raven,0.79,19
Rusty-spotted Cat,Great Black-backed Gull,0.71,7
Sand Cat,Hyacinth Macaw,1,5
Scottish Wildcat,Cinereous (Eurasian Black) Vulture,0.8,10
Scottish Wildcat,Golden Eagle,0.45,33
Scottish Wild Cat,Steller's Sea Eagle,0.42,12
Serval,Cuban Giant Owl,0.86,7
Serval,Lappet-faced Vulture,0.57,7
Southern African Wildcat,Shoebill,0.86,7
Sunda Leopard Cat,Indian Peacock,0.78,9
Fishing Cat,Porcupine River Stingray,0.85,13
African Wildcat,Pulmonoscorpius kirktonensis,0.33,9
Fishing Cat,Tasmanian Giant Crab,0.46,13
Sunda Leopard Cat,Coconut (Robber) Crab,0.6,15
Geoffroy's Cat,Beelzebufo ampinga,0.86,7
Bobcat,Dromaeosaurus albertensis,0.41,29
Cougar,Deinonychus antirrhopus,0.37,35
Ocelot,Velociraptor mongoliensis,0.47,30
African Leopard,Indian Leopard,0.87,15
African Lion (Coalition of 2),Natodomeri Lion,0.89,18
African Lioness,Bengal Tigress,0.33,42
African Lioness,Siberian Tigress,0.53,34
American Lion,Eurasian Cave Lion,0.86,21
American Lion,Natodomeri Lion,0.56,9
American Lion,Ngandong Tiger,0.53,53
Amur Leopard,Snow Leopard,0.84,37
Arabian Leopardess,Clouded Leopard,0.27,15
Arabian Leopard,Sunda Clouded Leopard,0.77,31
Asiatic Lion (coalition of 2),Ngandong Tiger,0.8,5
Asiatic Lion,Pleistocene Jaguar,0.21,29
Asiatic Lioness,Bali Tiger,0.5,8
Asiatic Lioness,Pantanal Jaguar,0.31,32
Asiatic Lioness,Persian Leopard,0.86,50
Bali Tiger,Jaguar,0.46,26
Barbary Lion,Caspian Tiger,0.68,31
Bengal Tiger,Asiatic Lioness (pride of 2),0.33,9
Bengal Tiger,Eurasian Cave Lion,0.29,17
Bengal Tiger,Lioness (pride of 2),0.26,23
Bengal Tigress,Pantanal Jaguar,0.83,18
Bornean Tiger,Sambir Lion,0.5,6
Cape Leopardess,Clouded Leopard,0.3,30
Caspian Tiger,Namibian Lion,1,5
Early Middle Pleistocene European Cave Lion,Wanhsien Tiger,0.4,5
